Date Time,Pulse Start,Pulse End,Pulse Duration,Distance,Delta From Last
1544471905.0872316,1544471905.0854223,1544471905.0858414,0.0004191398620605469,7.19
1544471905.1900232,1544471905.1881893,1544471905.1885521,0.0003628730773925781,6.22
1544471905.292746,1544471905.2909412,1544471905.2912855,0.00034427642822265625,5.9
1544471905.3957973,1544471905.3937166,1544471905.394033,0.00031638145446777344,5.43
1544471905.4984648,1544471905.4967191,1544471905.4970455,0.00032639503479003906,5.6
1544471905.601539,1544471905.5994067,1544471905.5997217,0.00031495094299316406,5.4
1544471905.7043839,1544471905.7025154,1544471905.7028427,0.0003273487091064453,5.61
1544471905.8070922,1544471905.8053102,1544471905.8056533,0.00034308433532714844,5.88
1544471905.9098558,1544471905.9080248,1544471905.9083493,0.00032448768615722656,5.56
1544471906.0126398,1544471906.0107913,1544471906.0111272,0.00033593177795410156,5.76
1544471906.1153636,1544471906.1135523,1544471906.1138954,0.00034308433532714844,5.88
1544471906.2180705,1544471906.2162743,1544471906.2166193,0.00034499168395996094,5.92
1544471906.3208892,1544471906.31898,1544471906.319431,0.00045108795166015625,7.74
1544471906.4239066,1544471906.4217992,1544471906.4223819,0.0005826950073242188,9.99
1544471906.5268748,1544471906.5248184,1544471906.5254118,0.0005934238433837891,10.18
1544471906.6297622,1544471906.6277776,1544471906.628331,0.0005533695220947266,9.49
1544471906.7327025,1544471906.7307117,1544471906.731196,0.00048422813415527344,8.3
1544471906.8355646,1544471906.8336947,1544471906.8340788,0.0003840923309326172,6.59
1544471906.9382727,1544471906.9364948,1544471906.9367964,0.00030159950256347656,5.17
1544471907.0410812,1544471907.0392234,1544471907.039541,0.00031757354736328125,5.45
1544471907.1440246,1544471907.1420162,1544471907.1423063,0.00029015541076660156,4.98
1544471907.2466857,1544471907.2449474,1544471907.2452822,0.00033473968505859375,5.74
1544471907.3493266,1544471907.3475916,1544471907.34791,0.00031828880310058594,5.46
1544471907.4519594,1544471907.4502473,1544471907.4505188,0.0002715587615966797,4.66
1544471907.5546215,1544471907.552892,1544471907.5531619,0.00026988983154296875,4.63
1544471907.6572456,1544471907.6555514,1544471907.655814,0.0002624988555908203,4.5
1544471907.759871,1544471907.758176,1544471907.7583973,0.00022125244140625,3.79
1544471907.862527,1544471907.860844,1544471907.8610551,0.00021123886108398438,3.62
1544471907.965203,1544471907.963471,1544471907.9636738,0.0002028942108154297,3.48
1544471908.0697608,1544471908.066135,1544471908.0663145,0.00017952919006347656,3.08
1544471908.706847,1544471908.1708272,1544471908.1710005,0.00017333030700683594,2.97
1544471908.811212,1544471908.8077633,1544471908.8098204,0.0020570755004882812,35.28
1544471908.9272838,1544471908.9237783,1544471908.925836,0.002057790756225586,35.29
1544471909.0317035,1544471909.02822,1544471909.0302525,0.0020325183868408203,34.86
1544471909.136182,1544471909.1326556,1544471909.1347134,0.002057790756225586,35.29
1544471909.2409403,1544471909.2373223,1544471909.2393758,0.002053499221801758,35.22
1544471909.3468282,1544471909.3418417,1544471909.3438773,0.0020356178283691406,34.91
1544471909.4575207,1544471909.4478805,1544471909.449915,0.002034425735473633,34.89
1544471909.5683894,1544471909.5584416,1544471909.5604963,0.0020546913146972656,35.24
1544471909.6792455,1544471909.6693056,1544471909.6713624,0.0020568370819091797,35.27
1544471909.78939,1544471909.7801888,1544471909.78224,0.002051115036010742,35.18
1544471909.8981452,1544471909.8906353,1544471909.8926947,0.002059459686279297,35.32
1544471910.0073285,1544471909.9991868,1544471910.0012655,0.0020787715911865234,35.65
1544471910.1118429,1544471910.108297,1544471910.1103544,0.002057313919067383,35.28
1544471910.2164066,1544471910.2127895,1544471910.2148447,0.0020551681518554688,35.25
1544471910.3209789,1544471910.3173106,1544471910.3193688,0.002058267593383789,35.3
1544471910.4254475,1544471910.4219892,1544471910.424053,0.002063751220703125,35.39
1544471910.5297925,1544471910.5263438,1544471910.5284095,0.0020656585693359375,35.43
1544471910.6341953,1544471910.6306891,1544471910.632742,0.002052783966064453,35.21
1544471910.7386374,1544471910.7351015,1544471910.7371542,0.002052783966064453,35.21
1544471910.8432236,1544471910.8396137,1544471910.8416486,0.002034902572631836,34.9
1544471910.9479358,1544471910.9442022,1544471910.946259,0.0020568370819091797,35.27
1544471911.0524719,1544471911.0489454,1544471911.0510008,0.0020554065704345703,35.25
1544471911.1569965,1544471911.1534648,1544471911.1555529,0.0020880699157714844,35.81
1544471911.2614207,1544471911.2579134,1544471911.2599504,0.00203704833984375,34.94
1544471911.3670824,1544471911.3623438,1544471911.3643546,0.002010822296142578,34.49
1544471911.4716122,1544471911.4681249,1544471911.4701347,0.002009868621826172,34.47
1544471911.5760188,1544471911.572526,1544471911.5745852,0.0020592212677001953,35.32
1544471911.6822095,1544471911.6769097,1544471911.6787972,0.0018875598907470703,32.37
1544471911.7866952,1544471911.7832255,1544471911.7852576,0.002032041549682617,34.85
1544471911.8920908,1544471911.8875983,1544471911.8896568,0.0020585060119628906,35.3
1544471911.9964821,1544471911.9930036,1544471911.9950516,0.002048015594482422,35.12
1544471912.1061022,1544471912.0974147,1544471912.0999541,0.002539396286010742,43.55
1544471912.2106252,1544471912.2070696,1544471912.209122,0.00205230712890625,35.2
1544471912.3151977,1544471912.311583,1544471912.3136456,0.002062559127807617,35.37
1544471912.4197993,1544471912.4162068,1544471912.418271,0.002064228057861328,35.4
1544471912.524418,1544471912.5207396,1544471912.5228167,0.0020771026611328125,35.62
1544471912.629831,1544471912.6253607,1544471912.6274164,0.002055644989013672,35.25
